Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Marvel One-Shot: The Consultant,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,The Avengers,Marvel One-Shot: Item 47,Iron Man 3,Marvel One-Shot: Agent Carter,Agents of S.H.I.E.L.D.,Thor: The Dark World,Marvel One-Shot: All Hail the King,Captain America: The Winter Soldier,Guardians of the Galaxy,Agent Carter,Daredevil,Avengers: Age of Ultron,WHIH News Front,Ant-Man,Jessica Jones,Captain America: Civil War,Luke Cage,Doctor Strange,Agents of S.H.I.E.L.D.: Slingshot,Iron Fist,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,The Defenders,Inhumans,Thor: Ragnarok,The Punisher,Runaways,Black Panther,Avengers: Infinity War,Cloak & Dagger,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,Helstrom,Marvel Studios: Legends,WandaVision,The Falcon and the Winter Soldier,Loki,Black Widow,What If...?,Shang-Chi and the Legend of the Ten Rings,Eternals,Hawkeye,Spider-Man: No Way Home,Moon Knight,Doctor Strange in the Multiverse of Madness,Ms. Marvel,Thor: Love and Thunder,She-Hulk: Attorney at Law,Werewolf by Night,Black Panther: Wakanda Forever,The Guardians of the Galaxy: Holiday Special,character_name,alternate_name
,,,21:15,,,,21:30,,,,,17:30,,,,,,,,,,,,,,,,,,,13:30,,,,3:45,,,,1:00,,,,,,,,,,,,,,,,,,,,,Loki,
,,,21:00,,,,,,,,,25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,:15,,,,,7:15,,,,,,,,29:15,,,,,Dr. Jane Foster,
,,,13:45,,,,3:00,,,,,6:30,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,x:00,,,,,Dr. Erik Selvig,
,,,11:15,,,,,,,,,9:00,,,,,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,:15,,,,,,,,,,,,,,,Odin,
,,,8:30,,,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,2:45,,,,,,,,,,,,,Darcy Lewis,
,,,8:15,,,,,,,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,,,,,,Sif,
,,,7:00,,,,,,,,,2:45,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,:15,,,,,1:15,,,,,,,,,,,,,Volstagg,
,,,7:00,,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,:15,,,,,2:00,,,,,,,,,,,,,Fandral,
,,,6:30,,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,,:15,,,,,1:15,,,,,,,,,,,,,Hogun,
,,,4:15,,,,,,,,,4:15,,,,,,:30,,,,,,,,,,,,,4:30,,,,:45,,,,,,,,,,,,:30,,,,,,,,:30,,,,,Heimdall,
,,,3:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,,,,,,Laufey,
,,,2:00,,,,,,,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2:45,,,:15,,,:45,,2:45,,,,,,,,:15,,,,,Frigga,
,,,1:00,,2:30,,:30,2:15,,,5:15,,,4:00,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,Agent Jasper Sitwell,
,,,:30,,,,12:45,,,,,,,,,,,15:00,x:00,,,4:15,,,,,,,,,,,,,,,,,18:00,,,8:15,,,:45,,9:15,,,95:30,,,,,,,,,,Clint Barton,Hawkeye
,,,,56:30,,,28:15,,,:15,,,,59:00,,:30,,21:45,1:00,:15,,38:15,,,,,,1:00,,,,,,,7:15,,,:30,30:45,,,16:00,,,1:00,,7:15,,,,,,,,,,,,,Steve Rogers,Captain America
,,,,17:15,,,,,,7:30,3:15,,,,,344:30,,,,,,,,,,,,,,,,,,,,,,,,,,4:00,,,,,,,,,,,,,,,,,,Agent Peggy Carter,
,,,,15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:30,,,,,2:15,,,,,,,,,,,,,Johann Schmidt,Red Skull
,,,,9:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:45,,,,,,,,,,,,,,,,,,Col. Chester Phillips,
,,,,8:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,:15,,,,,,,,,,,,,Dr. Abraham Erskine,
,,,,8:15,,,,,,,,,,2:15,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:00,,,,,,,,,,,,,Dr. Arnim Zola,
,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sgt. James ""Bucky"" Barnes",
,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Heinz Kruger,
,,,,1:45,,,,,,:15,:30,,,,,7:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,,,"Sgt. Timothy ""Dum Dum"" Dugan",
,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,Pvt. Gabe Jones,
,,,,1:30,,,,,,,:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pvt. Jim Morita,
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pvt. James Montgomery Fallsworth,
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:30,,,,,,,,,,,,,Pvt. Jacques Dernier,
,,,,,:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen. Thaddeus Ross,
,,,,,,,5:30,,,,9:45,,,3:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Maria Hill,
,,,,,,,2:30,,,,,,,,:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Other,
,,,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen. Georgi Luchkov,
,,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Councilwoman Malick,
,,,,,,,1:00,,,,,,,:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Councilwoman Hawley,
,,,,,,,:15,,,,,,,,1:00,,,:15,,,,,,,,,,,,,,,,,31:00,,,,12:15,,,4:00,,,:15,,3:15,,,,,,,,,,,,,Thanos,
,,,,,,,,5:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,
,,,,,,,,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bennie,
,,,,,,,,1:45,,,6:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent Felix Blake,
,,,,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aldrich Killian,
,,,,,,,,,9:45,,,,,,,,,2:30,x:00,,,7:15,,,,,,,,,,,,,2:45,,,:15,,,,,,,,,,,,,,,,,,,,,,"Col. James ""Rhodey"" Rhodes",Iron Patriot
,,,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Maya Hansen,
