Character,Alternate Name,Doctor Strange in the Multiverse of Madness,Spider-Man No Way Home,Eternals,Shang-Chi,Black Widow,Avengers_Endgame,Black_Panther,Avengers Infinity War,Marvels The Avengers,Avengers Age of Ultron,Captain Marvel,Iron Man 3,Captain America Civil War,Guardians of the Galaxy Vol 2,Spider-Man Homecoming,Guardians of the Galaxy,Spider-Man Far from Home,Iron Man,Thor Ragnarok,Iron Man 2,Captain America The Winter Soldier,Doctor Strange,Ant-Man and the Wasp,Venom (2018),Thor The Dark World,Thor,Ant-Man,Captain America: The First Avenger,The Incredible Hulk
Peter Quill,Star Lord,,,,,,3:00,,10:15,,,,,,35:45,,46:45,,,,,,,,,,,,,
Gamora,,,,,,,5:00,,20:00,,,,,,24:00,,31:00,,,,,,,,,,,,,
Rocket,,,,,,,8:00,,6:15,,,,,,19:45,,19:30,,,,,,,,,,,,,
Drax,,,,,,,1:00,,5:45,,,,,,16:30,,18:30,,,,,,,,,,,,,
Groot,,,,,,,,,4:00,,,,,,14:00,,14:45,,,,,,,,,,,,,
Ronan,,,,,,,,,,,,1:30,,,,,7:45,,,,,,,,,,,,,
Yondu Udonta,,,,,,,,,,,,,,,16:15,,6:00,,,,,,,,,,,,,
Nebula,,,,,,,16:00,,3:15,,,,,,10:30,,4:30,,,,,,,,,,,,,
Ultron,,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,,,
Vision,,,,,,,,,10:00,,6:15,,,7:15,,,,,,,,,,,,,,,,
Laura Barton,,,,,,,,,,,3:45,,,,,,,,,,,,,,,,,,,
Scott Lang,,,,,,,14:15,,,,,,,5:30,,,,,,,,,,42:30,,,,50:30,,
Hank Pym,,,,,,,00:30,,,,,,,,,,,,,,,,,23:45,,,,24:45,,
Hope Van Dyne,,,,,,,1:30,,,,,,,,,,,,,,,,,35:00,,,,15:45,,
Darren Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:30,,
Luis,,,,,,,,,,,,,,,,,,,,,,,,8:30,,,,7:00,,
Cassie Lang,,,,,,,,,,,,,,,,,,,,,,,,7:00,,,,4:30,,
T’Challa,Black Panther,,,,,,1:45,48:00,,,,,,11:30,,,,,,,,,,,,,,,,
Helmut Zemo,,,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,,
Peter Parker,Spider-Man,,83:45,,,,3:15,,7:15,,,,,8:30,,15:00,,4:00,,,,,,,,,,,,
King T’chaka,,,,,,,,5:00,,,,,,1:30,,,,,,,,,,,,,,,,
Everett Ross,,,,,,,,12:00,,,,,,1:15,,,,,,,,,,,,,,,,
May Parker,,,9:30,,,,,,,,,,,1:00,,4:00,,3:15,,,,,,,,,,,,
Stephen Strange,Doctor Strange,62:15,12:30,,,,,,11:15,,,,,,,,,,,3:00,,,13:30,,,,,,,
Karl Mordo,,4:30,,,,,,,,,,,,,,,,,,,,,17:45,,,,,,,
The Ancient One,,,,,,,3:30,,,,,,,,,,,,,,,,17:15,,,,,,,
